id,state,capital,longitude,latitude
1,Alabama,Montgomery,-86.279189,32.361602
2,Arizona,Phoenix,-112.067365,33.448322
3,Arkansas,Little Rock,-92.331093,34.736083
4,California,Sacramento,-121.471984,38.576967
5,Colorado,Denver,-104.985962,39.741134
6,Connecticut,Hartford,-72.681913,41.771966
7,Delaware,Dover,-75.524703,39.158087
8,Florida,Tallahassee,-84.280034,30.449988
9,Georgia,Atlanta,-84.367642,33.739457
10,Idaho,Boise,-116.22749,43.60859
11,Illinois,Springfield,-89.637126,39.788247
12,Indiana,Indianapolis,-86.171994,39.751934
13,Iowa,Des Moines,-93.619981,41.57998
14,Kansas,Topeka,-95.669985,39.050005
15,Kentucky,Frankfort,-84.873357,38.200806
16,Louisiana,Baton Rouge,-91.140158,30.457946
17,Maine,Augusta,-69.779989,44.310563
18,Maryland,Annapolis,-76.492499,38.97833
19,Massachusetts,Boston,-71.07196,42.331906
20,Michigan,Lansing,-84.546736,42.733527
21,Minnesota,St.  Paul,-93.084975,44.943987
22,Mississippi,Jackson,-90.184997,32.298815
23,Missouri,Jefferson City,-92.173325,38.576623
24,Montana,Helena,-112.035291,46.592749
25,Nebraska,Lincoln,-96.680001,40.819975
26,Nevada,Carson City,-119.766395,39.163849
27,New Hampshire,Concord,-71.538047,43.208072
28,New Jersey,Trenton,-74.743355,40.216963
29,New Mexico,Santa Fe,-105.937239,35.686929
30,New York,Albany,-73.757553,42.653744
31,North Carolina,Raleigh,-78.647035,35.772696
32,North Dakota,Bismarck,-100.783316,46.808317
33,Ohio,Columbus,-82.991956,39.98192
34,Oklahoma,Oklahoma City,-97.520629,35.471989
35,Oregon,Salem,-123.023897,44.92807
36,Pennsylvania,Harrisburg,-76.884749,40.2736
37,Rhode Island,Providence,-71.416926,41.823048
38,South Carolina,Columbia,-81.031262,33.996861
39,South Dakota,Pierre,-100.350552,44.368337
40,Tennessee,Nashville,-86.781931,36.17192
41,Texas,Austin,-97.744724,30.268895
42,Utah,Salt Lake City,-111.931998,40.776962
43,Vermont,Montpelier,-72.575813,44.259971
44,Virginia,Richmond,-77.451932,37.551965
45,Washington,Olympia,-122.899434,47.038045
46,West Virginia,Charleston,-81.632728,38.349738
47,Wisconsin,Madison,-89.401117,43.073016
48,Wyoming,Cheyenne,-104.819711,41.140007
