iteration,level,temperature,current,best,accepted
0,0,2522.8620442940619,49454,49454,0
4800,1,2522.8620442940619,54567,30403,4124
9600,2,2472.4048034081807,44386,30403,8260
14400,3,2422.9567073400167,46067,30403,12386
19200,4,2374.4975731932163,46076,30403,16442
24000,5,2327.0076217293522,43170,30403,20518
28800,6,2280.4674692947647,43207,30403,24514
33600,7,2234.8581199088694,39310,30403,28578
38400,8,2190.1609575106922,47945,30403,32572
43200,9,2146.3577383604784,49472,30403,36623
48000,10,2103.4305835932687,40106,30403,40601
52800,11,2061.3619719214034,44686,30403,44581
57600,12,2020.1347324829751,44977,30403,48561
62400,13,1979.7320378333156,49270,30403,52460
67200,14,1940.1373970766492,51910,30403,56419
72000,15,1901.3346491351163,39500,30403,60327
76800,16,1863.3079561524139,39769,30403,64274
81600,17,1826.0417970293656,52351,30403,68130
86400,18,1789.5209610887784,40681,30403,71899
91200,19,1753.7305418670026,39693,30403,75725
96000,20,1718.6559310296625,42359,30403,79538
100800,21,1684.2828124090693,43633,30403,83263
105600,22,1650.5971561608878,42661,30403,87083
110400,23,1617.5852130376702,47448,30403,90831
115200,24,1585.2335087769166,42069,29495,94500
120000,25,1553.5288386013783,41012,29495,98156
124800,26,1522.4582618293505,43787,29495,101819
129600,27,1492.0090965927636,40674,29495,105454
134400,28,1462.1689146609083,41516,29495,109048
139200,29,1432.9255363676903,45245,28943,112608
144000,30,1404.2670256403364,35097,28943,116204
148800,31,1376.1816851275298,40849,28943,119741
153600,32,1348.658051424979,41329,28943,123343
158400,33,1321.6848903964794,40029,28943,126863
163200,34,1295.2511925885499,45328,28943,130367
168000,35,1269.346168736779,36193,28943,133761
172800,36,1243.9592453620432,37605,28943,137249
177600,37,1219.0800604548024,39987,28943,140628
182400,38,1194.6984592457063,42923,28943,144063
187200,39,1170.8044900607922,46225,28943,147401
192000,40,1147.3884002595764,39272,28943,150721
196800,41,1124.4406322543848,35486,28760,153999
201600,42,1101.951819609297,37795,28760,157210
206400,43,1079.9127832171109,37545,27880,160483
211200,44,1058.3145275527688,40949,27632,163824
216000,45,1037.1482370017134,39712,27632,167096
220800,46,1016.4052722616791,36749,27632,170324
225600,47,996.07716681644547,37548,27522,173494
230400,48,976.15562348011656,37619,27071,176610
235200,49,956.63251101051424,39509,25121,179635
240000,50,937.49986079030384,34027,25121,182785
244800,51,918.74986357449779,37573,25121,185865
249600,52,900.37486630300771,39456,25121,188838
254400,53,882.36736897694755,34260,25121,191811
259200,54,864.72002159740862,41908,25121,194821
264000,55,847.42562116546048,37127,25121,197777
268800,56,830.47710874215124,35800,25121,200616
273600,57,813.86756656730824,37297,25121,203428
278400,58,797.59021523596209,31254,25121,206258
283200,59,781.6384109312429,36935,25065,209056
288000,60,766.00564271261806,43085,25065,211821
292800,61,750.68552985836561,40243,25065,214531
297600,62,735.67181926119838,34810,25065,217174
302400,63,720.95838287597428,31421,25065,219826
307200,64,706.53921521845484,33872,25065,222436
312000,65,692.40843091408578,33224,23918,224914
316800,66,678.56026229580402,42435,23918,227489
321600,67,664.98905704988795,33516,23918,230067
326400,68,651.68927590889007,33275,23918,232473
331200,69,638.65549039071232,30467,23918,235003
336000,70,625.88238058289812,31761,23918,237476
340800,71,613.36473297124007,31126,22318,239837
345600,72,601.09743831181527,30464,22318,242116
350400,73,589.07548954557899,27976,22318,244427
355200,74,577.29397975466736,35840,22318,246683
360000,75,565.74810015957405,34767,22318,248957
364800,76,554.43313815638248,30316,22318,251193
369600,77,543.34447539325492,31947,22318,253425
374400,78,532.47758588538977,31956,22318,255582
379200,79,521.82803416768195,28127,22318,257700
384000,80,511.39147348432834,29295,22169,259743
388800,81,501.16364401464176,32485,22169,261849
393600,82,491.14037113434892,24327,20925,263773
398400,83,481.31756371166193,25497,20925,265765
403200,84,471.6912124374287,30192,20925,267695
408000,85,462.25738818868018,28911,20925,269524
412800,86,453.01224042490657,26706,19785,271468
417600,87,443.9519956164084,26210,19785,273278
422400,88,435.07295570408024,23013,19384,275109
427200,89,426.37149658999863,27971,19384,276864
432000,90,417.8440666581987,26456,19384,278673
436800,91,409.48718532503472,25727,19384,280364
441600,92,401.29744161853398,24584,19384,281959
446400,93,393.27149278616326,24930,19384,283557
451200,94,385.40606293043999,24193,19384,285140
456000,95,377.69794167183125,24850,19384,286700
460800,96,370.14398283839461,22564,18248,288247
465600,97,362.74110318162667,23614,18248,289708
470400,98,355.48628111799411,28149,18248,291281
475200,99,348.37655549563425,25944,18248,292773
480000,100,341.40902438572158,22353,18248,294225
484800,101,334.58084389800712,25592,17103,295576
489600,102,327.88922702004703,25784,17103,296944
494400,103,321.33144247964606,25264,17103,298260
499200,104,314.90481363005313,23483,17103,299541
504000,105,308.60671735745211,20715,17103,300778
508800,106,302.43458301030307,22531,17103,301991
513600,107,296.38589135009698,22836,17103,303161
518400,108,290.45817352309501,20459,17103,304316
523200,109,284.64901005263312,24010,17103,305502
528000,110,278.95602985158047,21870,17008,306652
532800,111,273.37690925454882,23339,17008,307788
537600,112,267.90937106945785,18657,17008,308950
542400,113,262.55118364806867,17349,16884,309948
547200,114,257.30015997510731,20186,16815,310935
552000,115,252.15415677560517,20526,14285,311964
556800,116,247.11107364009308,17031,14285,312909
561600,117,242.16885216729122,20194,14285,313888
566400,118,237.32547512394538,18970,14285,314902
571200,119,232.57896562146649,18815,14285,315814
576000,120,227.92738630903716,20496,14285,316676
580800,121,223.3688385828564,19443,14285,317595
585600,122,218.90146181119925,19191,14285,318422
590400,123,214.52343257497526,19319,14285,319221
595200,124,210.23296392347578,18523,14285,320098
600000,125,206.02830464500627,18058,14285,320905
604800,126,201.90773855210617,20563,14285,321704
609600,127,197.86958378106405,16729,14285,322481
614400,128,193.91219210544276,19670,14285,323287
619200,129,190.03394826333391,17887,14285,323953
624000,130,186.23326929806723,18658,14285,324657
628800,131,182.50860391210588,17491,14285,325268
633600,132,178.85843183386376,19233,13583,325920
638400,133,175.28126319718649,17705,13583,326579
643200,134,171.77563793324273,16709,13583,327124
648000,135,168.34012517457788,17976,13583,327770
652800,136,164.97332267108629,16455,13583,328411
657600,137,161.67385621766459,18630,13583,328979
662400,138,158.44037909331129,16098,13583,329563
667200,139,155.27157151144507,15064,13583,330114
672000,140,152.16614008121616,15610,13077,330527
676800,141,149.12281727959183,15372,13077,331024
681600,142,146.140360934,16214,13077,331503
686400,143,143.21755371531998,15125,13077,331921
691200,144,140.35320264101358,14882,13077,332358
696000,145,137.54613858819332,14493,13077,332771
700800,146,134.79521581642945,14494,13077,333205
705600,147,132.09931150010084,14256,13077,333622
710400,148,129.45732527009883,14195,12584,334029
715200,149,126.86817876469685,14251,12563,334394
720000,150,124.3308151894029,13932,12563,334785
724800,151,121.84419888561484,14184,12552,335170
729600,152,119.40731490790256,13974,12552,335474
734400,153,117.0191686097445,14258,12552,335841
739200,154,114.67878523754962,13614,12448,336187
744000,155,112.38520953279861,13453,12448,336498
748800,156,110.13750534214263,13704,12081,336796
753600,157,107.93475523529978,13282,12081,337092
758400,158,105.77606013059379,14760,12081,337410
763200,159,103.66053892798192,13643,12081,337697
768000,160,101.58732814942228,12545,11946,337931
772800,161,99.555581586433817,12993,11946,338168
777600,162,97.564469954705146,12990,11946,338444
782400,163,95.613180555611038,13051,11696,338658
787200,164,93.700916944498829,13457,11696,338877
792000,165,91.826898605608847,13413,11696,339127
796800,166,89.990360633496664,12895,11696,339356
801600,167,88.190553420826731,12129,11424,339538
806400,168,86.426742352410187,11943,11307,339741
811200,169,84.698207505361992,12450,11307,339914
816000,170,83.004243355254744,12356,11307,340090
820800,171,81.344158488149645,12299,11307,340248
825600,172,79.717275318386655,12135,11307,340444
830400,173,78.122929812018924,11425,10991,340592
835200,174,76.560471215778549,12427,10991,340752
840000,175,75.029261791462972,11837,10991,340890
844800,176,73.528676555633709,11966,10991,341048
849600,177,72.058103024521031,12144,10991,341221
854400,178,70.616940964030604,13346,10991,341416
859200,179,69.204602144749984,12464,10991,341612
864000,180,67.820510101854993,11796,10991,341771
868800,181,66.464099899817896,11467,10991,341948
873600,182,65.134817901821535,12011,10991,342076
878400,183,63.832121543785092,11829,10991,342233
883200,184,62.555479112909389,11400,10991,342338
888000,185,61.304369530651208,11716,10991,342444
892800,186,60.078282140038183,11941,10991,342573
897600,187,58.876716497237418,11337,10991,342688
902400,188,57.699182167292669,11591,10991,342788
907200,189,56.545198523946816,11508,10991,342886
912000,190,55.414294553467883,11474,10991,342992
916800,191,54.306008662398519,11229,10839,343074
921600,192,53.219888489150549,11577,10839,343182
926400,193,52.155490719367542,11584,10839,343307
931200,194,51.112380904980192,11738,10839,343408
936000,195,50.090133286880587,11138,10839,343521
940800,196,49.08833062114298,11472,10756,343592
945600,197,48.10656400872012,10955,10756,343666
950400,198,47.144432728545716,10968,10756,343752
955200,199,46.201544073974794,11214,10756,343808
960000,200,45.277513192495292,11353,10756,343921
964800,201,44.371962928645388,11258,10756,344022
969600,202,43.484523670072477,11119,10756,344114
974400,203,42.614833196671029,11196,10756,344188
979200,204,41.762536532737613,10996,10756,344262
984000,205,40.927285802082856,11007,10716,344325
988800,206,40.108740086041202,11257,10716,344399
993600,207,39.306565284320378,11307,10716,344470
998400,208,38.520433978633967,11249,10716,344540
1003200,209,37.750025299061285,10730,10716,344617
1008000,210,36.995024793080063,11057,10705,344678
1012800,211,36.255124297218458,11098,10705,344737
1017600,212,35.530021811274089,10990,10705,344795
1022400,213,34.819421375048606,10904,10693,344853
1027200,214,34.123032947547635,10997,10693,344910
1032000,215,33.440572288596684,10995,10693,344942
1036800,216,32.771760842824754,11018,10693,344991
1041600,217,32.116325625968258,10937,10693,345038
1046400,218,31.47399911344889,10906,10688,345088
1051200,219,30.844519131179911,10831,10688,345136
1056000,220,30.227628748556313,10743,10688,345182
1060800,221,29.623076173585186,10759,10653,345217
1065600,222,29.030614650113481,10663,10653,345248
1070400,223,28.45000235711121,10936,10653,345270
1075200,224,27.881002309968984,10871,10653,345303
1080000,225,27.323382263769602,10813,10628,345347
1084800,226,26.77691461849421,10814,10628,345392
1089600,227,26.241376326124328,10829,10628,345410
1094400,228,25.716548799601838,10827,10628,345449
1099200,229,25.2022178236098,10814,10628,345466
1104000,230,24.698173467137604,10904,10628,345484
1108800,231,24.204209997794852,10956,10628,345510
1113600,232,23.720125797838953,10842,10628,345539
1118400,233,23.245723281882174,10822,10628,345556
1123200,234,22.78080881624453,10932,10628,345585
