run,seed,initial,best,levels,proposals,accepted,best_iteration,seconds
1,42,49454,10628,456,2188800,346966,1076288,0.061520400000000003
2,43,49151,10628,456,2188800,374598,1085350,0.068286200000000005
3,44,51487,10628,456,2188800,338866,1075275,0.064261399999999996
4,45,54719,10730,456,2188800,305547,1014147,0.059479299999999999
5,46,51264,10688,456,2188800,354979,1091575,0.066992700000000002
6,47,46552,10653,456,2188800,386171,1117817,0.0629493
7,48,45860,10724,456,2188800,422819,1015032,0.067068799999999998
8,49,52342,10648,456,2188800,331636,1063991,0.065103300000000003
9,50,48621,10653,456,2188800,389926,1076683,0.065030599999999994
10,51,45156,10648,456,2188800,473707,1177560,0.085231100000000004
11,52,48872,10658,456,2188800,394490,1035528,0.083950899999999995
12,53,42912,10711,456,2188800,444091,1182537,0.063173800000000002
13,54,53469,10738,456,2188800,389574,1040229,0.064538700000000004
14,55,54148,10700,456,2188800,329597,993054,0.070124300000000001
15,56,48266,10716,456,2188800,418751,1267729,0.071744600000000006
16,57,48593,10648,456,2188800,394942,1128600,0.082229399999999994
17,58,52374,10769,456,2188800,363439,984413,0.081751000000000004
18,59,45462,10688,456,2188800,439161,1156951,0.087833700000000001
19,60,49261,10840,456,2188800,404796,1069763,0.082611500000000004
20,61,53598,10658,456,2188800,354372,1021901,0.098935700000000001
