iteration,level,temperature,current,best,accepted
0,0,2622.8895947446276,51264,51264,0
4800,1,2622.8895947446276,48639,34542,4166
9600,2,2570.431802849735,48968,34542,8352
14400,3,2519.0231667927401,41141,32903,12431
19200,4,2468.6427034568856,45296,32903,16537
24000,5,2419.2698493877474,51325,32903,20686
28800,6,2370.8844523999924,43871,32903,24765
33600,7,2323.4667633519925,45571,32903,28811
38400,8,2276.9974280849528,41866,32903,32851
43200,9,2231.4574795232534,40008,31020,36878
48000,10,2186.8283299327886,51983,31020,40888
52800,11,2143.0917633341328,41183,31020,44941
57600,12,2100.2299280674501,45253,31020,48916
62400,13,2058.2253295061009,40899,31020,52942
67200,14,2017.0608229159789,45657,31020,56919
72000,15,1976.7196064576592,47299,31020,60884
76800,16,1937.1852143285062,42239,31020,64834
81600,17,1898.441510041936,42244,30846,68668
86400,18,1860.4726798410973,40314,30846,72556
91200,19,1823.2632262442753,39740,30846,76461
96000,20,1786.7979617193896,42758,30846,80266
100800,21,1751.0620024850018,42857,30846,84093
105600,22,1716.0407624353018,46998,30846,87943
110400,23,1681.7199471865956,37714,30275,91740
115200,24,1648.0855482428638,41299,30275,95512
120000,25,1615.1238372780065,50306,30275,99334
124800,26,1582.8213605324461,41160,30275,103116
129600,27,1551.1649333217972,43915,30275,106847
134400,28,1520.1416346553613,47733,30275,110577
139200,29,1489.7388019622542,38949,30275,114294
144000,30,1459.9440259230091,42798,30275,117895
148800,31,1430.745145404549,38109,30271,121501
153600,32,1402.1302424964579,48106,29283,125085
158400,33,1374.0876376465287,45603,29283,128678
163200,34,1346.6058848935982,41116,29283,132267
168000,35,1319.6737671957262,45055,29283,135819
172800,36,1293.2802918518116,41043,29283,139308
177600,37,1267.4146860147753,32020,29283,142732
182400,38,1242.0663922944798,38538,29283,146195
187200,39,1217.2250644485903,42451,29283,149686
192000,40,1192.8805631596185,36959,29283,153049
196800,41,1169.0229518964261,39969,28585,156388
201600,42,1145.6424928584975,39414,28394,159735
206400,43,1122.7296430013273,33860,28394,163102
211200,44,1100.2750501413009,43511,28394,166410
216000,45,1078.2695491384748,30007,27821,169657
220800,46,1056.7041581557053,41421,27821,172906
225600,47,1035.5700749925911,40037,27821,176078
230400,48,1014.8586734927394,39922,27219,179207
235200,49,994.5615000228845,33255,27219,182439
240000,50,974.67027002242673,33187,27110,185634
244800,51,955.17686462197821,35235,26862,188793
249600,52,936.07332732953864,36727,26862,191835
254400,53,917.35186078294782,34129,26862,194853
259200,54,899.00482356728889,34823,24707,197808
264000,55,881.02472709594304,44763,24707,200790
268800,56,863.40423255402425,39098,24707,203781
273600,57,846.13614790294378,33030,24707,206676
278400,58,829.21342494488488,39012,24707,209542
283200,59,812.62915644598718,37463,24707,212477
288000,60,796.37657331706748,36642,24707,215288
292800,61,780.44904185072608,30445,24707,218017
297600,62,764.84006101371153,25643,24707,220734
302400,63,749.5432597934373,32913,23061,223406
307200,64,734.55239459756854,33971,23061,226106
312000,65,719.86134670561717,37851,23061,228743
316800,66,705.4641197715049,36541,23061,231455
321600,67,691.35483737607478,40342,23061,234057
326400,68,677.52774062855315,30486,22662,236546
331200,69,663.97718581598212,32310,22662,239098
336000,70,650.69764209966252,33647,22662,241604
340800,71,637.68368925766924,25831,22662,244026
345600,72,624.93001547251583,32488,22662,246423
350400,73,612.43141516306548,31305,21755,248776
355200,74,600.1827868598042,28716,21755,251071
360000,75,588.17913112260817,24847,21755,253460
364800,76,576.41554850015586,33703,21755,255737
369600,77,564.88723753015279,29435,21755,257904
374400,78,553.58949277954969,31135,21755,260053
379200,79,542.51770292395872,33782,21755,262308
384000,80,531.66734886547954,26508,21755,264349
388800,81,521.03400188816988,27210,20583,266365
393600,82,510.61332185040652,28688,20583,268455
398400,83,500.40105541339841,30412,20583,270485
403200,84,490.39303430513047,27416,20583,272475
408000,85,480.5851736190279,24746,20583,274443
412800,86,470.97347014664729,32725,20583,276412
417600,87,461.55400074371437,25674,20583,278306
422400,88,452.32292072884007,24998,20583,280153
427200,89,443.27646231426326,23833,20583,282017
432000,90,434.41093306797802,27448,19500,283800
436800,91,425.72271440661848,27400,19500,285590
441600,92,417.20826011848607,24227,19500,287284
446400,93,408.8640949161163,29485,19500,289026
451200,94,400.68681301779395,26142,19500,290684
456000,95,392.67307675743814,22413,19500,292331
460800,96,384.81961522228931,22569,19191,293895
465600,97,377.12322291784358,24260,19191,295547
470400,98,369.58075845948667,24109,19191,297067
